"","Area.name","Area.code","Area.type","Specimen.date","Daily.lab.confirmed.cases","Cumulative.lab.confirmed.cases"
"80","Leicestershire","E10000018","Upper tier local authority","2020-04-21",4,757
"81","Leicester","E06000016","Upper tier local authority","2020-04-21",2,520
"82","Leeds","E08000035","Upper tier local authority","2020-04-21",0,1010
"83","Lancashire","E10000017","Upper tier local authority","2020-04-21",1,2229
"84","Lambeth","E09000022","Upper tier local authority","2020-04-21",0,1047
"85","Knowsley","E08000011","Upper tier local authority","2020-04-21",0,445
"86","Kirklees","E08000034","Upper tier local authority","2020-04-21",2,456
"87","Kingston upon Thames","E09000021","Upper tier local authority","2020-04-21",0,390
"88","Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-21",0,303
"89","Kent","E10000016","Upper tier local authority","2020-04-21",1,2685
"90","Kensington and Chelsea","E09000020","Upper tier local authority","2020-04-21",0,419
"91","Islington","E09000019","Upper tier local authority","2020-04-21",0,377
"92","Isle of Wight","E06000046","Upper tier local authority","2020-04-21",1,74
"93","Hounslow","E09000018","Upper tier local authority","2020-04-21",0,593
"94","Hillingdon","E09000017","Upper tier local authority","2020-04-21",0,655
"95","Hertfordshire","E10000015","Upper tier local authority","2020-04-21",3,1954
"96","Herefordshire, County of","E06000019","Upper tier local authority","2020-04-21",0,168
"97","Havering","E09000016","Upper tier local authority","2020-04-21",0,574
"98","Hartlepool","E06000001","Upper tier local authority","2020-04-21",0,98
"99","Harrow","E09000015","Upper tier local authority","2020-04-21",1,803
"100","Haringey","E09000014","Upper tier local authority","2020-04-21",0,505
"101","Hampshire","E10000014","Upper tier local authority","2020-04-21",11,2336
"102","Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-21",0,495
"103","Halton","E06000006","Upper tier local authority","2020-04-21",0,277
"104","Hackney","E09000012","Upper tier local authority","2020-04-21",0,572
"105","Greenwich","E09000011","Upper tier local authority","2020-04-21",4,579
"106","Gloucestershire","E10000013","Upper tier local authority","2020-04-21",0,989
"107","Gateshead","E08000037","Upper tier local authority","2020-04-21",7,634
"108","Essex","E10000012","Upper tier local authority","2020-04-21",0,1980
"109","Enfield","E09000010","Upper tier local authority","2020-04-21",0,723
"110","East Sussex","E10000011","Upper tier local authority","2020-04-21",8,471
"111","East Riding of Yorkshire","E06000011","Upper tier local authority","2020-04-21",0,386
"112","Ealing","E09000009","Upper tier local authority","2020-04-21",0,953
"113","Dudley","E08000027","Upper tier local authority","2020-04-21",0,617
"114","Dorset","E06000059","Upper tier local authority","2020-04-21",0,268
"115","Doncaster","E08000017","Upper tier local authority","2020-04-21",0,309
"116","Devon","E10000008","Upper tier local authority","2020-04-21",2,581
"117","Derbyshire","E10000007","Upper tier local authority","2020-04-21",2,969
"118","Derby","E06000015","Upper tier local authority","2020-04-21",0,413
"119","Darlington","E06000005","Upper tier local authority","2020-04-21",0,203
"120","Cumbria","E10000006","Upper tier local authority","2020-04-21",0,1543
"121","Croydon","E09000008","Upper tier local authority","2020-04-21",0,1226
"122","Coventry","E08000026","Upper tier local authority","2020-04-21",0,539
"123","County Durham","E06000047","Upper tier local authority","2020-04-21",4,1027
"124","Cornwall and Isles of Scilly","E06000052","Upper tier local authority","2020-04-21",7,427
"125","City of London","E09000001","Upper tier local authority","2020-04-21",0,13
"126","Cheshire West and Chester","E06000050","Upper tier local authority","2020-04-21",0,608
"127","Cheshire East","E06000049","Upper tier local authority","2020-04-21",0,654
"128","Central Bedfordshire","E06000056","Upper tier local authority","2020-04-21",0,392
"129","Camden","E09000007","Upper tier local authority","2020-04-21",0,531
"130","Cambridgeshire","E10000003","Upper tier local authority","2020-04-21",0,569
"131","Calderdale","E08000033","Upper tier local authority","2020-04-21",2,200
"132","Bury","E08000002","Upper tier local authority","2020-04-21",0,354
"133","Buckinghamshire","E10000002","Upper tier local authority","2020-04-21",0,681
"134","Bromley","E09000006","Upper tier local authority","2020-04-21",3,942
"135","Bristol, City of","E06000023","Upper tier local authority","2020-04-21",1,496
"136","Brighton and Hove","E06000043","Upper tier local authority","2020-04-21",0,322
"137","Brent","E09000005","Upper tier local authority","2020-04-21",0,1254
"138","Bradford","E08000032","Upper tier local authority","2020-04-21",5,618
"139","Bracknell Forest","E06000036","Upper tier local authority","2020-04-21",0,174
"140","Bournemouth, Christchurch and Poole","E06000058","Upper tier local authority","2020-04-21",5,355
"141","Bolton","E08000001","Upper tier local authority","2020-04-21",0,601
"142","Blackpool","E06000009","Upper tier local authority","2020-04-21",0,294
"143","Blackburn with Darwen","E06000008","Upper tier local authority","2020-04-21",0,248
"144","Birmingham","E08000025","Upper tier local authority","2020-04-21",0,2431
"145","Bexley","E09000004","Upper tier local authority","2020-04-21",1,549
"146","Bedford","E06000055","Upper tier local authority","2020-04-21",0,340
"147","Bath and North East Somerset","E06000022","Upper tier local authority","2020-04-21",0,182
"148","Barnsley","E08000016","Upper tier local authority","2020-04-21",4,488
"149","Barnet","E09000003","Upper tier local authority","2020-04-21",0,1101
"150","Barking and Dagenham","E09000002","Upper tier local authority","2020-04-21",1,418
"151","Yorkshire and The Humber","E12000003","Region","2020-04-21",35,7682
"152","West Midlands","E12000005","Region","2020-04-21",17,10463
"153","South West","E12000009","Region","2020-04-21",24,5229
"154","South East","E12000008","Region","2020-04-21",25,14053
"155","North West","E12000002","Region","2020-04-21",2,15209
"156","North East","E12000001","Region","2020-04-21",39,6095
"157","London","E12000007","Region","2020-04-21",21,22352
"158","East of England","E12000006","Region","2020-04-21",3,8218
"159","East Midlands","E12000004","Region","2020-04-21",9,5630
"160","England","E92000001","Nation","2020-04-21",177,99137
"161","York","E06000014","Upper tier local authority","2020-04-20",6,198
"162","Worcestershire","E10000034","Upper tier local authority","2020-04-20",7,963
"163","Wolverhampton","E08000031","Upper tier local authority","2020-04-20",4,613
"164","Wirral","E08000015","Upper tier local authority","2020-04-20",1,830
"165","Wiltshire","E06000054","Upper tier local authority","2020-04-20",9,396
"166","Wigan","E08000010","Upper tier local authority","2020-04-20",5,479
"167","Westminster","E09000033","Upper tier local authority","2020-04-20",2,567
"168","West Berkshire","E06000037","Upper tier local authority","2020-04-20",3,254
"169","Warwickshire","E10000031","Upper tier local authority","2020-04-20",1,906
"170","Warrington","E06000007","Upper tier local authority","2020-04-20",4,472
"171","Waltham Forest","E09000031","Upper tier local authority","2020-04-20",6,663
"172","Walsall","E08000030","Upper tier local authority","2020-04-20",10,735
"173","Wakefield","E08000036","Upper tier local authority","2020-04-20",4,429
"174","Trafford","E08000009","Upper tier local authority","2020-04-20",4,486
"175","Tower Hamlets","E09000030","Upper tier local authority","2020-04-20",5,563
"176","Torbay","E06000027","Upper tier local authority","2020-04-20",6,158
"177","Telford and Wrekin","E06000020","Upper tier local authority","2020-04-20",7,194
"178","Tameside","E08000008","Upper tier local authority","2020-04-20",2,389
"179","Swindon","E06000030","Upper tier local authority","2020-04-20",13,299
"180","Surrey","E10000030","Upper tier local authority","2020-04-20",3,2134
"181","Sunderland","E08000024","Upper tier local authority","2020-04-20",54,996
"182","Suffolk","E10000029","Upper tier local authority","2020-04-20",1,715
"183","Stoke-on-Trent","E06000021","Upper tier local authority","2020-04-20",11,315
"184","Stockton-on-Tees","E06000004","Upper tier local authority","2020-04-20",4,249
"185","Stockport","E08000007","Upper tier local authority","2020-04-20",4,670
"186","Staffordshire","E10000028","Upper tier local authority","2020-04-20",30,1339
"187","St. Helens","E08000013","Upper tier local authority","2020-04-20",8,509
"188","Southwark","E09000028","Upper tier local authority","2020-04-20",3,1105
"189","Southend-on-Sea","E06000033","Upper tier local authority","2020-04-20",1,258
"190","Southampton","E06000045","Upper tier local authority","2020-04-20",13,380
"191","South Tyneside","E08000023","Upper tier local authority","2020-04-20",24,401
"192","South Gloucestershire","E06000025","Upper tier local authority","2020-04-20",7,287
"193","Somerset","E10000027","Upper tier local authority","2020-04-20",16,384
"194","Solihull","E08000029","Upper tier local authority","2020-04-20",5,455
"195","Shropshire","E06000051","Upper tier local authority","2020-04-20",10,366
"196","Sheffield","E08000019","Upper tier local authority","2020-04-20",43,1730
"197","Sefton","E08000014","Upper tier local authority","2020-04-20",9,690
"198","Sandwell","E08000028","Upper tier local authority","2020-04-20",7,805
"199","Salford","E08000006","Upper tier local authority","2020-04-20",2,487
"200","Rotherham","E08000018","Upper tier local authority","2020-04-20",12,526
"201","Rochdale","E08000005","Upper tier local authority","2020-04-20",9,344
"202","Richmond upon Thames","E09000027","Upper tier local authority","2020-04-20",1,342
"203","Redcar and Cleveland","E06000003","Upper tier local authority","2020-04-20",1,229
"204","Redbridge","E09000026","Upper tier local authority","2020-04-20",5,609
"205","Portsmouth","E06000044","Upper tier local authority","2020-04-20",1,238
"206","Plymouth","E06000026","Upper tier local authority","2020-04-20",9,223
"207","Peterborough","E06000031","Upper tier local authority","2020-04-20",4,155
"208","Oxfordshire","E10000025","Upper tier local authority","2020-04-20",6,1288
"209","Oldham","E08000004","Upper tier local authority","2020-04-20",8,495
"210","Nottinghamshire","E10000024","Upper tier local authority","2020-04-20",20,928
"211","Nottingham","E06000018","Upper tier local authority","2020-04-20",18,416
"212","Northumberland","E06000057","Upper tier local authority","2020-04-20",21,646
"213","Northamptonshire","E10000021","Upper tier local authority","2020-04-20",7,945
"214","North Yorkshire","E10000023","Upper tier local authority","2020-04-20",22,685
"215","North Tyneside","E08000022","Upper tier local authority","2020-04-20",7,407
"216","North Somerset","E06000024","Upper tier local authority","2020-04-20",2,175
"217","North East Lincolnshire","E06000012","Upper tier local authority","2020-04-20",1,104
"218","Norfolk","E10000020","Upper tier local authority","2020-04-20",26,1118
"219","Newham","E09000025","Upper tier local authority","2020-04-20",7,882
"220","Newcastle upon Tyne","E08000021","Upper tier local authority","2020-04-20",17,764
"221","Middlesbrough","E06000002","Upper tier local authority","2020-04-20",1,413
"222","Merton","E09000024","Upper tier local authority","2020-04-20",2,602
"223","Medway","E06000035","Upper tier local authority","2020-04-20",11,525
"224","Manchester","E08000003","Upper tier local authority","2020-04-20",11,894
"225","Liverpool","E08000012","Upper tier local authority","2020-04-20",19,1210
"226","Lincolnshire","E10000019","Upper tier local authority","2020-04-20",3,668
"227","Lewisham","E09000023","Upper tier local authority","2020-04-20",4,830
"228","Leicestershire","E10000018","Upper tier local authority","2020-04-20",19,753
"229","Leicester","E06000016","Upper tier local authority","2020-04-20",13,518
"230","Leeds","E08000035","Upper tier local authority","2020-04-20",18,1010
"231","Lancashire","E10000017","Upper tier local authority","2020-04-20",5,2228
"232","Lambeth","E09000022","Upper tier local authority","2020-04-20",3,1047
"233","Knowsley","E08000011","Upper tier local authority","2020-04-20",11,445
"234","Kirklees","E08000034","Upper tier local authority","2020-04-20",3,454
"235","Kingston upon Hull, City of","E06000010","Upper tier local authority","2020-04-20",16,303
"236","Kent","E10000016","Upper tier local authority","2020-04-20",12,2684
"237","Kensington and Chelsea","E09000020","Upper tier local authority","2020-04-20",3,419
"238","Hounslow","E09000018","Upper tier local authority","2020-04-20",6,593
"239","Hillingdon","E09000017","Upper tier local authority","2020-04-20",6,655
"240","Hertfordshire","E10000015","Upper tier local authority","2020-04-20",21,1951
"241","Herefordshire, County of","E06000019","Upper tier local authority","2020-04-20",9,168
"242","Havering","E09000016","Upper tier local authority","2020-04-20",3,574
"243","Harrow","E09000015","Upper tier local authority","2020-04-20",2,802
"244","Hampshire","E10000014","Upper tier local authority","2020-04-20",63,2325
"245","Hammersmith and Fulham","E09000013","Upper tier local authority","2020-04-20",3,495
"246","Halton","E06000006","Upper tier local authority","2020-04-20",3,277
"247","Hackney","E09000012","Upper tier local authority","2020-04-20",6,572
"248","Greenwich","E09000011","Upper tier local authority","2020-04-20",3,575
"249","Gloucestershire","E10000013","Upper tier local authority","2020-04-20",4,989
