"","Area.name","Area.code","Area.type","Reporting.date","Daily.change.in.deaths","Cumulative.deaths"
"1","Wales","W92000004","Nation","2020-04-29",73,886
"2","Scotland","S92000003","Nation","2020-04-29",70,1332
"3","Northern Ireland","N92000002","Nation","2020-04-29",20,329
"4","United Kingdom","K02000001","UK","2020-04-29",765,26097
"5","England","E92000001","Nation","2020-04-29",632,23550
"6","Wales","W92000004","Nation","2020-04-28",17,813
"7","Scotland","S92000003","Nation","2020-04-28",13,1262
"8","Northern Ireland","N92000002","Nation","2020-04-28",10,309
"9","United Kingdom","K02000001","UK","2020-04-28",909,25302
"10","England","E92000001","Nation","2020-04-28",869,22918
"11","Wales","W92000004","Nation","2020-04-27",8,796
"12","Scotland","S92000003","Nation","2020-04-27",18,1249
"13","Northern Ireland","N92000002","Nation","2020-04-27",5,299
"14","United Kingdom","K02000001","UK","2020-04-27",338,24393
"15","England","E92000001","Nation","2020-04-27",307,22049
"16","Wales","W92000004","Nation","2020-04-26",14,788
"17","Scotland","S92000003","Nation","2020-04-26",47,1231
"18","Northern Ireland","N92000002","Nation","2020-04-26",16,294
"19","United Kingdom","K02000001","UK","2020-04-26",420,24055
"20","England","E92000001","Nation","2020-04-26",343,21742
"21","Wales","W92000004","Nation","2020-04-25",23,774
"22","Scotland","S92000003","Nation","2020-04-25",64,1184
"23","Northern Ireland","N92000002","Nation","2020-04-25",15,278
"24","United Kingdom","K02000001","UK","2020-04-25",843,23635
"25","England","E92000001","Nation","2020-04-25",741,21399
"26","Wales","W92000004","Nation","2020-04-24",110,751
"27","Scotland","S92000003","Nation","2020-04-24",58,1120
"28","Northern Ireland","N92000002","Nation","2020-04-24",13,263
"29","United Kingdom","K02000001","UK","2020-04-24",1005,22792
"30","England","E92000001","Nation","2020-04-24",824,20658
"31","Wales","W92000004","Nation","2020-04-23",17,641
"32","Scotland","S92000003","Nation","2020-04-23",77,1062
"33","Northern Ireland","N92000002","Nation","2020-04-23",30,250
"34","United Kingdom","K02000001","UK","2020-04-23",727,21787
"35","England","E92000001","Nation","2020-04-23",603,19834
"36","Wales","W92000004","Nation","2020-04-22",15,624
"37","Scotland","S92000003","Nation","2020-04-22",70,985
"38","Northern Ireland","N92000002","Nation","2020-04-22",13,220
"39","United Kingdom","K02000001","UK","2020-04-22",837,21060
"40","England","E92000001","Nation","2020-04-22",739,19231
"41","Wales","W92000004","Nation","2020-04-21",25,609
"42","Scotland","S92000003","Nation","2020-04-21",12,915
"43","Northern Ireland","N92000002","Nation","2020-04-21",13,207
"44","United Kingdom","K02000001","UK","2020-04-21",1172,20223
"45","England","E92000001","Nation","2020-04-21",1122,18492
"46","Wales","W92000004","Nation","2020-04-20",9,584
"47","Scotland","S92000003","Nation","2020-04-20",10,903
"48","Northern Ireland","N92000002","Nation","2020-04-20",1,194
"49","United Kingdom","K02000001","UK","2020-04-20",559,19051
"50","England","E92000001","Nation","2020-04-20",539,17370
"51","Wales","W92000004","Nation","2020-04-19",41,575
"52","Scotland","S92000003","Nation","2020-04-19",56,893
"53","Northern Ireland","N92000002","Nation","2020-04-19",17,193
"54","United Kingdom","K02000001","UK","2020-04-19",498,18492
"55","England","E92000001","Nation","2020-04-19",384,16831
"56","Wales","W92000004","Nation","2020-04-18",28,534
"57","Scotland","S92000003","Nation","2020-04-18",58,837
"58","Northern Ireland","N92000002","Nation","2020-04-18",18,176
"59","United Kingdom","K02000001","UK","2020-04-18",1115,17994
"60","England","E92000001","Nation","2020-04-18",1011,16447
"61","Wales","W92000004","Nation","2020-04-17",11,506
"62","Scotland","S92000003","Nation","2020-04-17",80,779
"63","Northern Ireland","N92000002","Nation","2020-04-17",18,158
"64","United Kingdom","K02000001","UK","2020-04-17",935,16879
"65","England","E92000001","Nation","2020-04-17",826,15436
"66","Wales","W92000004","Nation","2020-04-16",32,495
"67","Scotland","S92000003","Nation","2020-04-16",84,699
"68","Northern Ireland","N92000002","Nation","2020-04-16",6,140
"69","United Kingdom","K02000001","UK","2020-04-16",1029,15944
"70","England","E92000001","Nation","2020-04-16",907,14610
"71","Wales","W92000004","Nation","2020-04-15",60,463
"72","Scotland","S92000003","Nation","2020-04-15",40,615
