"","Area.name","Area.code","Area.type","Reporting.date","Daily.change.in.deaths","Cumulative.deaths"
"73","Northern Ireland","N92000002","Nation","2020-04-15",10,134
"74","United Kingdom","K02000001","UK","2020-04-15",842,14915
"75","England","E92000001","Nation","2020-04-15",732,13703
"76","Wales","W92000004","Nation","2020-04-14",19,403
"77","Scotland","S92000003","Nation","2020-04-14",9,575
"78","Northern Ireland","N92000002","Nation","2020-04-14",6,124
"79","United Kingdom","K02000001","UK","2020-04-14",1044,14073
"80","England","E92000001","Nation","2020-04-14",1010,12971
"81","Wales","W92000004","Nation","2020-04-13",15,384
"82","Scotland","S92000003","Nation","2020-04-13",24,566
"83","Northern Ireland","N92000002","Nation","2020-04-13",11,118
"84","United Kingdom","K02000001","UK","2020-04-13",744,13029
"85","England","E92000001","Nation","2020-04-13",694,11961
"86","Wales","W92000004","Nation","2020-04-12",18,369
"87","Scotland","S92000003","Nation","2020-04-12",47,542
"88","Northern Ireland","N92000002","Nation","2020-04-12",15,107
"89","United Kingdom","K02000001","UK","2020-04-12",686,12285
"90","England","E92000001","Nation","2020-04-12",606,11267
"91","Wales","W92000004","Nation","2020-04-11",36,351
"92","Scotland","S92000003","Nation","2020-04-11",48,495
"93","Northern Ireland","N92000002","Nation","2020-04-11",10,92
"94","United Kingdom","K02000001","UK","2020-04-11",839,11599
"95","England","E92000001","Nation","2020-04-11",745,10661
"96","Wales","W92000004","Nation","2020-04-10",29,315
"97","Scotland","S92000003","Nation","2020-04-10",81,447
"98","Northern Ireland","N92000002","Nation","2020-04-10",4,82
"99","United Kingdom","K02000001","UK","2020-04-10",1152,10760
"100","England","E92000001","Nation","2020-04-10",1038,9916
"101","Wales","W92000004","Nation","2020-04-09",41,286
"102","Scotland","S92000003","Nation","2020-04-09",70,366
"103","Northern Ireland","N92000002","Nation","2020-04-09",5,78
"104","United Kingdom","K02000001","UK","2020-04-09",1103,9608
"105","England","E92000001","Nation","2020-04-09",987,8878
"106","Wales","W92000004","Nation","2020-04-08",33,245
"107","Scotland","S92000003","Nation","2020-04-08",74,296
"108","Northern Ireland","N92000002","Nation","2020-04-08",3,73
"109","United Kingdom","K02000001","UK","2020-04-08",1034,8505
"110","England","E92000001","Nation","2020-04-08",924,7891
"111","Wales","W92000004","Nation","2020-04-07",19,212
"112","Scotland","S92000003","Nation","2020-04-07",2,222
"113","Northern Ireland","N92000002","Nation","2020-04-07",7,70
"114","United Kingdom","K02000001","UK","2020-04-07",1038,7471
"115","England","E92000001","Nation","2020-04-07",1010,6967
"116","Wales","W92000004","Nation","2020-04-06",27,193
"117","Scotland","S92000003","Nation","2020-04-06",2,220
"118","Northern Ireland","N92000002","Nation","2020-04-06",7,63
"119","United Kingdom","K02000001","UK","2020-04-06",568,6433
"120","England","E92000001","Nation","2020-04-06",532,5957
"121","Wales","W92000004","Nation","2020-04-05",12,166
"122","Scotland","S92000003","Nation","2020-04-05",46,218
"123","Northern Ireland","N92000002","Nation","2020-04-05",8,56
"124","United Kingdom","K02000001","UK","2020-04-05",644,5865
"125","England","E92000001","Nation","2020-04-05",578,5425
"126","Wales","W92000004","Nation","2020-04-04",13,154
"127","Scotland","S92000003","Nation","2020-04-04",46,172
"128","Northern Ireland","N92000002","Nation","2020-04-04",12,48
"129","United Kingdom","K02000001","UK","2020-04-04",760,5221
"130","England","E92000001","Nation","2020-04-04",689,4847
"131","Wales","W92000004","Nation","2020-04-03",24,141
"132","Scotland","S92000003","Nation","2020-04-03",29,126
"133","Northern Ireland","N92000002","Nation","2020-04-03",6,36
"134","United Kingdom","K02000001","UK","2020-04-03",714,4461
"135","England","E92000001","Nation","2020-04-03",655,4158
"136","Wales","W92000004","Nation","2020-04-02",19,117
"137","Scotland","S92000003","Nation","2020-04-02",28,97
"138","Northern Ireland","N92000002","Nation","2020-04-02",2,30
"139","United Kingdom","K02000001","UK","2020-04-02",652,3747
"140","England","E92000001","Nation","2020-04-02",603,3503
"141","Wales","W92000004","Nation","2020-04-01",29,98
"142","Scotland","S92000003","Nation","2020-04-01",22,69
"143","Northern Ireland","N92000002","Nation","2020-04-01",6,28
"144","United Kingdom","K02000001","UK","2020-04-01",670,3095
"145","England","E92000001","Nation","2020-04-01",613,2900
"146","Wales","W92000004","Nation","2020-03-31",7,69
"147","Scotland","S92000003","Nation","2020-03-31",6,47
"148","Northern Ireland","N92000002","Nation","2020-03-31",1,22
"149","United Kingdom","K02000001","UK","2020-03-31",382,2425
"150","England","E92000001","Nation","2020-03-31",368,2287
"151","Wales","W92000004","Nation","2020-03-30",14,62
"152","Scotland","S92000003","Nation","2020-03-30",1,41
"153","Northern Ireland","N92000002","Nation","2020-03-30",6,21
"154","United Kingdom","K02000001","UK","2020-03-30",374,2043
"155","England","E92000001","Nation","2020-03-30",353,1919
"156","Wales","W92000004","Nation","2020-03-29",10,48
"157","Scotland","S92000003","Nation","2020-03-29",7,40
"158","Northern Ireland","N92000002","Nation","2020-03-29",2,15
"159","United Kingdom","K02000001","UK","2020-03-29",214,1669
"160","England","E92000001","Nation","2020-03-29",195,1566
"161","Wales","W92000004","Nation","2020-03-28",4,38
"162","Scotland","S92000003","Nation","2020-03-28",8,33
"163","Northern Ireland","N92000002","Nation","2020-03-28",3,13
"164","United Kingdom","K02000001","UK","2020-03-28",294,1455
"165","England","E92000001","Nation","2020-03-28",279,1371
"166","Wales","W92000004","Nation","2020-03-27",6,34
"167","Scotland","S92000003","Nation","2020-03-27",3,25
"168","Northern Ireland","N92000002","Nation","2020-03-27",3,10
"169","United Kingdom","K02000001","UK","2020-03-27",284,1161
"170","England","E92000001","Nation","2020-03-27",272,1092
"171","Wales","W92000004","Nation","2020-03-26",6,28
"172","Scotland","S92000003","Nation","2020-03-26",6,22
"173","Northern Ireland","N92000002","Nation","2020-03-26",2,7
"174","United Kingdom","K02000001","UK","2020-03-26",183,877
"175","England","E92000001","Nation","2020-03-26",169,820
"176","Wales","W92000004","Nation","2020-03-25",5,22
"177","Scotland","S92000003","Nation","2020-03-25",2,16
"178","Northern Ireland","N92000002","Nation","2020-03-25",2,5
"179","United Kingdom","K02000001","UK","2020-03-25",186,694
"180","England","E92000001","Nation","2020-03-25",177,651
"181","Wales","W92000004","Nation","2020-03-24",1,17
"182","Scotland","S92000003","Nation","2020-03-24",4,14
"183","Northern Ireland","N92000002","Nation","2020-03-24",1,3
"184","United Kingdom","K02000001","UK","2020-03-24",149,508
"185","England","E92000001","Nation","2020-03-24",143,474
"186","Wales","W92000004","Nation","2020-03-23",4,16
"187","Scotland","S92000003","Nation","2020-03-23",3,10
"188","Northern Ireland","N92000002","Nation","2020-03-23",0,2
"189","United Kingdom","K02000001","UK","2020-03-23",74,359
"190","England","E92000001","Nation","2020-03-23",67,331
"191","Wales","W92000004","Nation","2020-03-22",9,12
"192","Scotland","S92000003","Nation","2020-03-22",1,7
"193","Northern Ireland","N92000002","Nation","2020-03-22",1,2
"194","United Kingdom","K02000001","UK","2020-03-22",35,285
"195","England","E92000001","Nation","2020-03-22",24,264
"196","Wales","W92000004","Nation","2020-03-21",2,3
"197","Scotland","S92000003","Nation","2020-03-21",0,6
"198","Northern Ireland","N92000002","Nation","2020-03-21",0,1
"199","United Kingdom","K02000001","UK","2020-03-21",56,250
"200","England","E92000001","Nation","2020-03-21",54,240
"201","Wales","W92000004","Nation","2020-03-20",0,1
"202","Scotland","S92000003","Nation","2020-03-20",3,6
"203","Northern Ireland","N92000002","Nation","2020-03-20",NA,1
"204","United Kingdom","K02000001","UK","2020-03-20",36,194
"205","England","E92000001","Nation","2020-03-20",32,186
"206","Wales","W92000004","Nation","2020-03-19",0,1
"207","Scotland","S92000003","Nation","2020-03-19",1,3
"208","United Kingdom","K02000001","UK","2020-03-19",43,158
"209","England","E92000001","Nation","2020-03-19",42,154
"210","Wales","W92000004","Nation","2020-03-18",0,1
"211","Scotland","S92000003","Nation","2020-03-18",1,2
"212","United Kingdom","K02000001","UK","2020-03-18",34,115
"213","England","E92000001","Nation","2020-03-18",33,112
"214","Wales","W92000004","Nation","2020-03-17",NA,1
"215","Scotland","S92000003","Nation","2020-03-17",0,1
"216","United Kingdom","K02000001","UK","2020-03-17",16,81
"217","England","E92000001","Nation","2020-03-17",15,79
"218","Scotland","S92000003","Nation","2020-03-16",0,1
"219","United Kingdom","K02000001","UK","2020-03-16",22,65
"220","England","E92000001","Nation","2020-03-16",22,64
"221","Scotland","S92000003","Nation","2020-03-15",NA,1
"222","United Kingdom","K02000001","UK","2020-03-15",15,43
"223","England","E92000001","Nation","2020-03-15",14,42
"224","United Kingdom","K02000001","UK","2020-03-14",18,28
"225","England","E92000001","Nation","2020-03-14",18,28
"226","United Kingdom","K02000001","UK","2020-03-13",1,10
"227","England","E92000001","Nation","2020-03-13",1,10
"228","United Kingdom","K02000001","UK","2020-03-12",2,9
"229","England","E92000001","Nation","2020-03-12",2,9
"230","United Kingdom","K02000001","UK","2020-03-11",0,7
"231","England","E92000001","Nation","2020-03-11",0,7
"232","United Kingdom","K02000001","UK","2020-03-10",4,7
"233","England","E92000001","Nation","2020-03-10",4,7
"234","United Kingdom","K02000001","UK","2020-03-09",1,3
"235","England","E92000001","Nation","2020-03-09",1,3
"236","United Kingdom","K02000001","UK","2020-03-08",0,2
"237","England","E92000001","Nation","2020-03-08",0,2
"238","United Kingdom","K02000001","UK","2020-03-07",1,2
"239","England","E92000001","Nation","2020-03-07",1,2
"240","United Kingdom","K02000001","UK","2020-03-06",1,1
"241","England","E92000001","Nation","2020-03-06",NA,1
