"","Area.name","Area.code","Area.type","Reporting.date","Daily.hospital.deaths","Cumulative.hospital.deaths"
"140","United Kingdom","K02000001","UK","2020-03-22",48,281
"141","United Kingdom","K02000001","UK","2020-03-21",56,233
"142","United Kingdom","K02000001","UK","2020-03-20",33,177
"143","United Kingdom","K02000001","UK","2020-03-19",41,144
"144","United Kingdom","K02000001","UK","2020-03-18",32,103
"145","United Kingdom","K02000001","UK","2020-03-17",16,71
"146","United Kingdom","K02000001","UK","2020-03-16",20,55
"147","United Kingdom","K02000001","UK","2020-03-15",14,35
"148","United Kingdom","K02000001","UK","2020-03-14",NA,21
"149","United Kingdom","K02000001","UK","2020-03-13",NA,8
"150","United Kingdom","K02000001","UK","2020-03-12",NA,8
"151","United Kingdom","K02000001","UK","2020-03-11",NA,6
"152","United Kingdom","K02000001","UK","2020-03-10",NA,6
