"","Area.name","Area.code","Area.type","Reporting.date","Daily.change.in.deaths","Cumulative.deaths"
"57","Scotland","S92000003","Nation","2020-06-06",14,2409
"58","Northern Ireland","N92000002","Nation","2020-06-06",1,536
"59","United Kingdom","K02000001","UK","2020-06-06",204,40465
"60","England","E92000001","Nation","2020-06-06",179,36127
"61","Wales","W92000004","Nation","2020-06-05",4,1383
"62","Scotland","S92000003","Nation","2020-06-05",9,2395
"63","Northern Ireland","N92000002","Nation","2020-06-05",1,535
"64","United Kingdom","K02000001","UK","2020-06-05",357,40261
"65","England","E92000001","Nation","2020-06-05",343,35948
"66","Wales","W92000004","Nation","2020-06-04",8,1379
"67","Scotland","S92000003","Nation","2020-06-04",11,2386
"68","Northern Ireland","N92000002","Nation","2020-06-04",8,534
"69","United Kingdom","K02000001","UK","2020-06-04",176,39904
"70","England","E92000001","Nation","2020-06-04",149,35605
"71","Wales","W92000004","Nation","2020-06-03",17,1371
"72","Scotland","S92000003","Nation","2020-06-03",12,2375
"73","Northern Ireland","N92000002","Nation","2020-06-03",2,526
"74","United Kingdom","K02000001","UK","2020-06-03",359,39728
"75","England","E92000001","Nation","2020-06-03",328,35456
"76","Wales","W92000004","Nation","2020-06-02",7,1354
"77","Scotland","S92000003","Nation","2020-06-02",1,2363
"78","Northern Ireland","N92000002","Nation","2020-06-02",1,524
"79","United Kingdom","K02000001","UK","2020-06-02",324,39369
"80","England","E92000001","Nation","2020-06-02",315,35128
"81","Wales","W92000004","Nation","2020-06-01",5,1347
"82","Scotland","S92000003","Nation","2020-06-01",9,2362
"83","Northern Ireland","N92000002","Nation","2020-06-01",1,523
"84","United Kingdom","K02000001","UK","2020-06-01",111,39045
"85","England","E92000001","Nation","2020-06-01",96,34813
"86","Wales","W92000004","Nation","2020-05-31",11,1342
"87","Scotland","S92000003","Nation","2020-05-31",22,2353
"88","Northern Ireland","N92000002","Nation","2020-05-31",1,522
"89","United Kingdom","K02000001","UK","2020-05-31",115,38934
"90","England","E92000001","Nation","2020-05-31",81,34717
"91","Wales","W92000004","Nation","2020-05-30",14,1331
"92","Scotland","S92000003","Nation","2020-05-30",15,2331
"93","Northern Ireland","N92000002","Nation","2020-05-30",3,521
"94","United Kingdom","K02000001","UK","2020-05-30",226,38819
"95","England","E92000001","Nation","2020-05-30",194,34636
"96","Wales","W92000004","Nation","2020-05-29",10,1317
"97","Scotland","S92000003","Nation","2020-05-29",12,2316
"98","Northern Ireland","N92000002","Nation","2020-05-29",2,518
"99","United Kingdom","K02000001","UK","2020-05-29",373,38593
"100","England","E92000001","Nation","2020-05-29",349,34442
"101","Wales","W92000004","Nation","2020-05-28",14,1307
"102","Scotland","S92000003","Nation","2020-05-28",13,2304
"103","Northern Ireland","N92000002","Nation","2020-05-28",2,516
"104","United Kingdom","K02000001","UK","2020-05-28",413,38220
"105","England","E92000001","Nation","2020-05-28",384,34093
"106","Wales","W92000004","Nation","2020-05-27",11,1293
"107","Scotland","S92000003","Nation","2020-05-27",18,2291
"108","Northern Ireland","N92000002","Nation","2020-05-27",0,514
"109","United Kingdom","K02000001","UK","2020-05-27",434,37807
"110","England","E92000001","Nation","2020-05-27",405,33709
"111","Wales","W92000004","Nation","2020-05-26",8,1282
"112","Scotland","S92000003","Nation","2020-05-26",3,2273
"113","Northern Ireland","N92000002","Nation","2020-05-26",8,514
"114","United Kingdom","K02000001","UK","2020-05-26",136,37373
"115","England","E92000001","Nation","2020-05-26",117,33304
"116","Wales","W92000004","Nation","2020-05-25",7,1274
"117","Scotland","S92000003","Nation","2020-05-25",9,2270
"118","Northern Ireland","N92000002","Nation","2020-05-25",1,506
"119","United Kingdom","K02000001","UK","2020-05-25",121,37237
"120","England","E92000001","Nation","2020-05-25",104,33187
"121","Wales","W92000004","Nation","2020-05-24",7,1267
"122","Scotland","S92000003","Nation","2020-05-24",16,2261
"123","Northern Ireland","N92000002","Nation","2020-05-24",1,505
"124","United Kingdom","K02000001","UK","2020-05-24",441,37116
"125","England","E92000001","Nation","2020-05-24",417,33083
"126","Wales","W92000004","Nation","2020-05-23",6,1260
"127","Scotland","S92000003","Nation","2020-05-23",24,2245
"128","Northern Ireland","N92000002","Nation","2020-05-23",3,504
"129","United Kingdom","K02000001","UK","2020-05-23",282,36675
"130","England","E92000001","Nation","2020-05-23",249,32666
"131","Wales","W92000004","Nation","2020-05-22",7,1254
"132","Scotland","S92000003","Nation","2020-05-22",37,2221
"133","Northern Ireland","N92000002","Nation","2020-05-22",7,501
"134","United Kingdom","K02000001","UK","2020-05-22",351,36393
"135","England","E92000001","Nation","2020-05-22",300,32417
"136","Wales","W92000004","Nation","2020-05-21",9,1247
"137","Scotland","S92000003","Nation","2020-05-21",50,2184
"138","Northern Ireland","N92000002","Nation","2020-05-21",5,494
"139","United Kingdom","K02000001","UK","2020-05-21",338,36042
"140","England","E92000001","Nation","2020-05-21",274,32117
"141","Wales","W92000004","Nation","2020-05-20",14,1238
"142","Scotland","S92000003","Nation","2020-05-20",29,2134
"143","Northern Ireland","N92000002","Nation","2020-05-20",7,489
"144","United Kingdom","K02000001","UK","2020-05-20",363,35704
"145","England","E92000001","Nation","2020-05-20",313,31843
"146","Wales","W92000004","Nation","2020-05-19",17,1224
"147","Scotland","S92000003","Nation","2020-05-19",2,2105
"148","Northern Ireland","N92000002","Nation","2020-05-19",6,482
"149","United Kingdom","K02000001","UK","2020-05-19",545,35341
"150","England","E92000001","Nation","2020-05-19",520,31530
"151","Wales","W92000004","Nation","2020-05-18",4,1207
"152","Scotland","S92000003","Nation","2020-05-18",9,2103
"153","Northern Ireland","N92000002","Nation","2020-05-18",3,476
"154","United Kingdom","K02000001","UK","2020-05-18",160,34796
"155","England","E92000001","Nation","2020-05-18",144,31010
"156","Wales","W92000004","Nation","2020-05-17",12,1203
"157","Scotland","S92000003","Nation","2020-05-17",41,2094
"158","Northern Ireland","N92000002","Nation","2020-05-17",4,473
"159","United Kingdom","K02000001","UK","2020-05-17",170,34636
"160","England","E92000001","Nation","2020-05-17",113,30866
"161","Wales","W92000004","Nation","2020-05-16",18,1191
"162","Scotland","S92000003","Nation","2020-05-16",46,2053
"163","Northern Ireland","N92000002","Nation","2020-05-16",15,469
"164","United Kingdom","K02000001","UK","2020-05-16",468,34466
"165","England","E92000001","Nation","2020-05-16",389,30753
"166","Wales","W92000004","Nation","2020-05-15",9,1173
"167","Scotland","S92000003","Nation","2020-05-15",34,2007
"168","Northern Ireland","N92000002","Nation","2020-05-15",5,454
"169","United Kingdom","K02000001","UK","2020-05-15",384,33998
"170","England","E92000001","Nation","2020-05-15",336,30364
"171","Wales","W92000004","Nation","2020-05-14",10,1164
"172","Scotland","S92000003","Nation","2020-05-14",61,1973
"173","Northern Ireland","N92000002","Nation","2020-05-14",2,449
"174","United Kingdom","K02000001","UK","2020-05-14",428,33614
"175","England","E92000001","Nation","2020-05-14",355,30028
"176","Wales","W92000004","Nation","2020-05-13",22,1154
"177","Scotland","S92000003","Nation","2020-05-13",50,1912
"178","Northern Ireland","N92000002","Nation","2020-05-13",9,447
"179","United Kingdom","K02000001","UK","2020-05-13",494,33186
"180","England","E92000001","Nation","2020-05-13",413,29673
"181","Wales","W92000004","Nation","2020-05-12",16,1132
"182","Scotland","S92000003","Nation","2020-05-12",5,1862
"183","Northern Ireland","N92000002","Nation","2020-05-12",3,438
"184","United Kingdom","K02000001","UK","2020-05-12",627,32692
"185","England","E92000001","Nation","2020-05-12",603,29260
"186","Wales","W92000004","Nation","2020-05-11",5,1116
"187","Scotland","S92000003","Nation","2020-05-11",10,1857
"188","Northern Ireland","N92000002","Nation","2020-05-11",5,435
"189","United Kingdom","K02000001","UK","2020-05-11",210,32065
"190","England","E92000001","Nation","2020-05-11",190,28657
"191","Wales","W92000004","Nation","2020-05-10",12,1111
"192","Scotland","S92000003","Nation","2020-05-10",36,1847
"193","Northern Ireland","N92000002","Nation","2020-05-10",4,430
"194","United Kingdom","K02000001","UK","2020-05-10",269,31855
"195","England","E92000001","Nation","2020-05-10",217,28467
"196","Wales","W92000004","Nation","2020-05-09",9,1099
"197","Scotland","S92000003","Nation","2020-05-09",49,1811
"198","Northern Ireland","N92000002","Nation","2020-05-09",4,426
"199","United Kingdom","K02000001","UK","2020-05-09",345,31586
"200","England","E92000001","Nation","2020-05-09",283,28250
"201","Wales","W92000004","Nation","2020-05-08",28,1090
"202","Scotland","S92000003","Nation","2020-05-08",59,1762
"203","Northern Ireland","N92000002","Nation","2020-05-08",4,422
"204","United Kingdom","K02000001","UK","2020-05-08",626,31241
"205","England","E92000001","Nation","2020-05-08",535,27967
"206","Wales","W92000004","Nation","2020-05-07",18,1062
"207","Scotland","S92000003","Nation","2020-05-07",83,1703
"208","Northern Ireland","N92000002","Nation","2020-05-07",14,418
"209","United Kingdom","K02000001","UK","2020-05-07",539,30615
"210","England","E92000001","Nation","2020-05-07",424,27432
"211","Wales","W92000004","Nation","2020-05-06",21,1044
"212","Scotland","S92000003","Nation","2020-05-06",44,1620
"213","Northern Ireland","N92000002","Nation","2020-05-06",17,404
"214","United Kingdom","K02000001","UK","2020-05-06",649,30076
"215","England","E92000001","Nation","2020-05-06",567,27008
"216","Wales","W92000004","Nation","2020-05-05",26,1023
"217","Scotland","S92000003","Nation","2020-05-05",5,1576
"218","Northern Ireland","N92000002","Nation","2020-05-05",6,387
"219","United Kingdom","K02000001","UK","2020-05-05",693,29427
"220","England","E92000001","Nation","2020-05-05",656,26441
"221","Wales","W92000004","Nation","2020-05-04",14,997
"222","Scotland","S92000003","Nation","2020-05-04",12,1571
"223","Northern Ireland","N92000002","Nation","2020-05-04",5,381
"224","United Kingdom","K02000001","UK","2020-05-04",288,28734
"225","England","E92000001","Nation","2020-05-04",257,25785
"226","Wales","W92000004","Nation","2020-05-03",14,983
"227","Scotland","S92000003","Nation","2020-05-03",44,1559
"228","Northern Ireland","N92000002","Nation","2020-05-03",11,376
"229","United Kingdom","K02000001","UK","2020-05-03",315,28446
"230","England","E92000001","Nation","2020-05-03",246,25528
"231","Wales","W92000004","Nation","2020-05-02",44,969
"232","Scotland","S92000003","Nation","2020-05-02",40,1515
"233","Northern Ireland","N92000002","Nation","2020-05-02",18,365
"234","United Kingdom","K02000001","UK","2020-05-02",621,28131
"235","England","E92000001","Nation","2020-05-02",519,25282
"236","Wales","W92000004","Nation","2020-05-01",17,925
"237","Scotland","S92000003","Nation","2020-05-01",60,1475
"238","Northern Ireland","N92000002","Nation","2020-05-01",9,347
"239","United Kingdom","K02000001","UK","2020-05-01",739,27510
"240","England","E92000001","Nation","2020-05-01",653,24763
"241","Wales","W92000004","Nation","2020-04-30",22,908
"242","Scotland","S92000003","Nation","2020-04-30",83,1415
"243","Northern Ireland","N92000002","Nation","2020-04-30",9,338
"244","United Kingdom","K02000001","UK","2020-04-30",674,26771
"245","England","E92000001","Nation","2020-04-30",560,24110
"246","Wales","W92000004","Nation","2020-04-29",73,886
"247","Scotland","S92000003","Nation","2020-04-29",70,1332
"248","Northern Ireland","N92000002","Nation","2020-04-29",20,329
"249","United Kingdom","K02000001","UK","2020-04-29",795,26097
"250","England","E92000001","Nation","2020-04-29",632,23550
"251","Wales","W92000004","Nation","2020-04-28",17,813
"252","Scotland","S92000003","Nation","2020-04-28",13,1262
"253","Northern Ireland","N92000002","Nation","2020-04-28",10,309
"254","United Kingdom","K02000001","UK","2020-04-28",909,25302
"255","England","E92000001","Nation","2020-04-28",869,22918
"256","Wales","W92000004","Nation","2020-04-27",8,796
"257","Scotland","S92000003","Nation","2020-04-27",18,1249
"258","Northern Ireland","N92000002","Nation","2020-04-27",5,299
"259","United Kingdom","K02000001","UK","2020-04-27",338,24393
"260","England","E92000001","Nation","2020-04-27",307,22049
"261","Wales","W92000004","Nation","2020-04-26",14,788
"262","Scotland","S92000003","Nation","2020-04-26",47,1231
"263","Northern Ireland","N92000002","Nation","2020-04-26",16,294
"264","United Kingdom","K02000001","UK","2020-04-26",420,24055
"265","England","E92000001","Nation","2020-04-26",343,21742
"266","Wales","W92000004","Nation","2020-04-25",23,774
"267","Scotland","S92000003","Nation","2020-04-25",64,1184
"268","Northern Ireland","N92000002","Nation","2020-04-25",15,278
"269","United Kingdom","K02000001","UK","2020-04-25",843,23635
"270","England","E92000001","Nation","2020-04-25",741,21399
"271","Wales","W92000004","Nation","2020-04-24",110,751
"272","Scotland","S92000003","Nation","2020-04-24",58,1120
"273","Northern Ireland","N92000002","Nation","2020-04-24",13,263
"274","United Kingdom","K02000001","UK","2020-04-24",1005,22792
"275","England","E92000001","Nation","2020-04-24",824,20658
"276","Wales","W92000004","Nation","2020-04-23",17,641
"277","Scotland","S92000003","Nation","2020-04-23",77,1062
"278","Northern Ireland","N92000002","Nation","2020-04-23",30,250
"279","United Kingdom","K02000001","UK","2020-04-23",727,21787
"280","England","E92000001","Nation","2020-04-23",603,19834
"281","Wales","W92000004","Nation","2020-04-22",15,624
"282","Scotland","S92000003","Nation","2020-04-22",70,985
"283","Northern Ireland","N92000002","Nation","2020-04-22",13,220
"284","United Kingdom","K02000001","UK","2020-04-22",837,21060
"285","England","E92000001","Nation","2020-04-22",739,19231
"286","Wales","W92000004","Nation","2020-04-21",25,609
"287","Scotland","S92000003","Nation","2020-04-21",12,915
"288","Northern Ireland","N92000002","Nation","2020-04-21",13,207
"289","United Kingdom","K02000001","UK","2020-04-21",1172,20223
"290","England","E92000001","Nation","2020-04-21",1122,18492
"291","Wales","W92000004","Nation","2020-04-20",9,584
"292","Scotland","S92000003","Nation","2020-04-20",10,903
"293","Northern Ireland","N92000002","Nation","2020-04-20",1,194
"294","United Kingdom","K02000001","UK","2020-04-20",559,19051
"295","England","E92000001","Nation","2020-04-20",539,17370
"296","Wales","W92000004","Nation","2020-04-19",41,575
"297","Scotland","S92000003","Nation","2020-04-19",56,893
"298","Northern Ireland","N92000002","Nation","2020-04-19",17,193
"299","United Kingdom","K02000001","UK","2020-04-19",498,18492
"300","England","E92000001","Nation","2020-04-19",384,16831
"301","Wales","W92000004","Nation","2020-04-18",28,534
"302","Scotland","S92000003","Nation","2020-04-18",58,837
"303","Northern Ireland","N92000002","Nation","2020-04-18",18,176
"304","United Kingdom","K02000001","UK","2020-04-18",1115,17994
"305","England","E92000001","Nation","2020-04-18",1011,16447
"306","Wales","W92000004","Nation","2020-04-17",11,506
"307","Scotland","S92000003","Nation","2020-04-17",80,779
"308","Northern Ireland","N92000002","Nation","2020-04-17",18,158
"309","United Kingdom","K02000001","UK","2020-04-17",935,16879
"310","England","E92000001","Nation","2020-04-17",826,15436
"311","Wales","W92000004","Nation","2020-04-16",32,495
"312","Scotland","S92000003","Nation","2020-04-16",84,699
"313","Northern Ireland","N92000002","Nation","2020-04-16",6,140
"314","United Kingdom","K02000001","UK","2020-04-16",1029,15944
"315","England","E92000001","Nation","2020-04-16",907,14610
"316","Wales","W92000004","Nation","2020-04-15",60,463
"317","Scotland","S92000003","Nation","2020-04-15",40,615
"318","Northern Ireland","N92000002","Nation","2020-04-15",10,134
"319","United Kingdom","K02000001","UK","2020-04-15",842,14915
"320","England","E92000001","Nation","2020-04-15",732,13703
"321","Wales","W92000004","Nation","2020-04-14",19,403
"322","Scotland","S92000003","Nation","2020-04-14",9,575
"323","Northern Ireland","N92000002","Nation","2020-04-14",6,124
"324","United Kingdom","K02000001","UK","2020-04-14",1044,14073
"325","England","E92000001","Nation","2020-04-14",1010,12971
"326","Wales","W92000004","Nation","2020-04-13",15,384
"327","Scotland","S92000003","Nation","2020-04-13",24,566
"328","Northern Ireland","N92000002","Nation","2020-04-13",11,118
"329","United Kingdom","K02000001","UK","2020-04-13",744,13029
"330","England","E92000001","Nation","2020-04-13",694,11961
"331","Wales","W92000004","Nation","2020-04-12",18,369
"332","Scotland","S92000003","Nation","2020-04-12",47,542
"333","Northern Ireland","N92000002","Nation","2020-04-12",15,107
"334","United Kingdom","K02000001","UK","2020-04-12",686,12285
"335","England","E92000001","Nation","2020-04-12",606,11267
"336","Wales","W92000004","Nation","2020-04-11",36,351
"337","Scotland","S92000003","Nation","2020-04-11",48,495
"338","Northern Ireland","N92000002","Nation","2020-04-11",10,92
"339","United Kingdom","K02000001","UK","2020-04-11",839,11599
"340","England","E92000001","Nation","2020-04-11",745,10661
"341","Wales","W92000004","Nation","2020-04-10",29,315
"342","Scotland","S92000003","Nation","2020-04-10",81,447
"343","Northern Ireland","N92000002","Nation","2020-04-10",4,82
"344","United Kingdom","K02000001","UK","2020-04-10",1152,10760
"345","England","E92000001","Nation","2020-04-10",1038,9916
"346","Wales","W92000004","Nation","2020-04-09",41,286
"347","Scotland","S92000003","Nation","2020-04-09",70,366
"348","Northern Ireland","N92000002","Nation","2020-04-09",5,78
"349","United Kingdom","K02000001","UK","2020-04-09",1103,9608
"350","England","E92000001","Nation","2020-04-09",987,8878
"351","Wales","W92000004","Nation","2020-04-08",33,245
"352","Scotland","S92000003","Nation","2020-04-08",74,296
"353","Northern Ireland","N92000002","Nation","2020-04-08",3,73
"354","United Kingdom","K02000001","UK","2020-04-08",1034,8505
"355","England","E92000001","Nation","2020-04-08",924,7891
"356","Wales","W92000004","Nation","2020-04-07",19,212
"357","Scotland","S92000003","Nation","2020-04-07",2,222
"358","Northern Ireland","N92000002","Nation","2020-04-07",7,70
"359","United Kingdom","K02000001","UK","2020-04-07",1038,7471
"360","England","E92000001","Nation","2020-04-07",1010,6967
"361","Wales","W92000004","Nation","2020-04-06",27,193
"362","Scotland","S92000003","Nation","2020-04-06",2,220
"363","Northern Ireland","N92000002","Nation","2020-04-06",7,63
"364","United Kingdom","K02000001","UK","2020-04-06",568,6433
"365","England","E92000001","Nation","2020-04-06",532,5957
"366","Wales","W92000004","Nation","2020-04-05",12,166
"367","Scotland","S92000003","Nation","2020-04-05",46,218
"368","Northern Ireland","N92000002","Nation","2020-04-05",8,56
"369","United Kingdom","K02000001","UK","2020-04-05",644,5865
"370","England","E92000001","Nation","2020-04-05",578,5425
"371","Wales","W92000004","Nation","2020-04-04",13,154
"372","Scotland","S92000003","Nation","2020-04-04",46,172
"373","Northern Ireland","N92000002","Nation","2020-04-04",12,48
"374","United Kingdom","K02000001","UK","2020-04-04",760,5221
"375","England","E92000001","Nation","2020-04-04",689,4847
"376","Wales","W92000004","Nation","2020-04-03",24,141
"377","Scotland","S92000003","Nation","2020-04-03",29,126
"378","Northern Ireland","N92000002","Nation","2020-04-03",6,36
"379","United Kingdom","K02000001","UK","2020-04-03",714,4461
"380","England","E92000001","Nation","2020-04-03",655,4158
"381","Wales","W92000004","Nation","2020-04-02",19,117
"382","Scotland","S92000003","Nation","2020-04-02",28,97
"383","Northern Ireland","N92000002","Nation","2020-04-02",2,30
"384","United Kingdom","K02000001","UK","2020-04-02",652,3747
"385","England","E92000001","Nation","2020-04-02",603,3503
"386","Wales","W92000004","Nation","2020-04-01",29,98
"387","Scotland","S92000003","Nation","2020-04-01",22,69
"388","Northern Ireland","N92000002","Nation","2020-04-01",6,28
"389","United Kingdom","K02000001","UK","2020-04-01",670,3095
"390","England","E92000001","Nation","2020-04-01",613,2900
"391","Wales","W92000004","Nation","2020-03-31",7,69
"392","Scotland","S92000003","Nation","2020-03-31",6,47
"393","Northern Ireland","N92000002","Nation","2020-03-31",1,22
"394","United Kingdom","K02000001","UK","2020-03-31",382,2425
"395","England","E92000001","Nation","2020-03-31",368,2287
"396","Wales","W92000004","Nation","2020-03-30",14,62
"397","Scotland","S92000003","Nation","2020-03-30",1,41
"398","Northern Ireland","N92000002","Nation","2020-03-30",6,21
"399","United Kingdom","K02000001","UK","2020-03-30",374,2043
"400","England","E92000001","Nation","2020-03-30",353,1919
"401","Wales","W92000004","Nation","2020-03-29",10,48
"402","Scotland","S92000003","Nation","2020-03-29",7,40
"403","Northern Ireland","N92000002","Nation","2020-03-29",2,15
"404","United Kingdom","K02000001","UK","2020-03-29",214,1669
"405","England","E92000001","Nation","2020-03-29",195,1566
"406","Wales","W92000004","Nation","2020-03-28",4,38
"407","Scotland","S92000003","Nation","2020-03-28",8,33
"408","Northern Ireland","N92000002","Nation","2020-03-28",3,13
"409","United Kingdom","K02000001","UK","2020-03-28",294,1455
"410","England","E92000001","Nation","2020-03-28",279,1371
"411","Wales","W92000004","Nation","2020-03-27",6,34
"412","Scotland","S92000003","Nation","2020-03-27",3,25
"413","Northern Ireland","N92000002","Nation","2020-03-27",3,10
"414","United Kingdom","K02000001","UK","2020-03-27",284,1161
"415","England","E92000001","Nation","2020-03-27",272,1092
"416","Wales","W92000004","Nation","2020-03-26",6,28
"417","Scotland","S92000003","Nation","2020-03-26",6,22
"418","Northern Ireland","N92000002","Nation","2020-03-26",2,7
"419","United Kingdom","K02000001","UK","2020-03-26",183,877
"420","England","E92000001","Nation","2020-03-26",169,820
"421","Wales","W92000004","Nation","2020-03-25",5,22
"422","Scotland","S92000003","Nation","2020-03-25",2,16
"423","Northern Ireland","N92000002","Nation","2020-03-25",2,5
"424","United Kingdom","K02000001","UK","2020-03-25",186,694
"425","England","E92000001","Nation","2020-03-25",177,651
"426","Wales","W92000004","Nation","2020-03-24",1,17
"427","Scotland","S92000003","Nation","2020-03-24",4,14
"428","Northern Ireland","N92000002","Nation","2020-03-24",1,3
"429","United Kingdom","K02000001","UK","2020-03-24",149,508
"430","England","E92000001","Nation","2020-03-24",143,474
"431","Wales","W92000004","Nation","2020-03-23",4,16
"432","Scotland","S92000003","Nation","2020-03-23",3,10
"433","Northern Ireland","N92000002","Nation","2020-03-23",0,2
"434","United Kingdom","K02000001","UK","2020-03-23",74,359
"435","England","E92000001","Nation","2020-03-23",67,331
"436","Wales","W92000004","Nation","2020-03-22",9,12
"437","Scotland","S92000003","Nation","2020-03-22",1,7
"438","Northern Ireland","N92000002","Nation","2020-03-22",1,2
"439","United Kingdom","K02000001","UK","2020-03-22",35,285
"440","England","E92000001","Nation","2020-03-22",24,264
"441","Wales","W92000004","Nation","2020-03-21",2,3
"442","Scotland","S92000003","Nation","2020-03-21",0,6
"443","Northern Ireland","N92000002","Nation","2020-03-21",0,1
"444","United Kingdom","K02000001","UK","2020-03-21",56,250
"445","England","E92000001","Nation","2020-03-21",54,240
"446","Wales","W92000004","Nation","2020-03-20",0,1
"447","Scotland","S92000003","Nation","2020-03-20",3,6
"448","Northern Ireland","N92000002","Nation","2020-03-20",NA,1
"449","United Kingdom","K02000001","UK","2020-03-20",36,194
"450","England","E92000001","Nation","2020-03-20",32,186
"451","Wales","W92000004","Nation","2020-03-19",0,1
"452","Scotland","S92000003","Nation","2020-03-19",1,3
"453","United Kingdom","K02000001","UK","2020-03-19",43,158
"454","England","E92000001","Nation","2020-03-19",42,154
"455","Wales","W92000004","Nation","2020-03-18",0,1
"456","Scotland","S92000003","Nation","2020-03-18",1,2
"457","United Kingdom","K02000001","UK","2020-03-18",34,115
"458","England","E92000001","Nation","2020-03-18",33,112
"459","Wales","W92000004","Nation","2020-03-17",NA,1
"460","Scotland","S92000003","Nation","2020-03-17",0,1
"461","United Kingdom","K02000001","UK","2020-03-17",16,81
"462","England","E92000001","Nation","2020-03-17",15,79
"463","Scotland","S92000003","Nation","2020-03-16",0,1
"464","United Kingdom","K02000001","UK","2020-03-16",22,65
"465","England","E92000001","Nation","2020-03-16",22,64
"466","Scotland","S92000003","Nation","2020-03-15",NA,1
"467","United Kingdom","K02000001","UK","2020-03-15",15,43
"468","England","E92000001","Nation","2020-03-15",14,42
"469","United Kingdom","K02000001","UK","2020-03-14",18,28
"470","England","E92000001","Nation","2020-03-14",18,28
"471","United Kingdom","K02000001","UK","2020-03-13",1,10
"472","England","E92000001","Nation","2020-03-13",1,10
"473","United Kingdom","K02000001","UK","2020-03-12",2,9
"474","England","E92000001","Nation","2020-03-12",2,9
"475","United Kingdom","K02000001","UK","2020-03-11",0,7
"476","England","E92000001","Nation","2020-03-11",0,7
"477","United Kingdom","K02000001","UK","2020-03-10",4,7
"478","England","E92000001","Nation","2020-03-10",4,7
"479","United Kingdom","K02000001","UK","2020-03-09",1,3
"480","England","E92000001","Nation","2020-03-09",1,3
"481","United Kingdom","K02000001","UK","2020-03-08",0,2
"482","England","E92000001","Nation","2020-03-08",0,2
"483","United Kingdom","K02000001","UK","2020-03-07",1,2
"484","England","E92000001","Nation","2020-03-07",1,2
"485","United Kingdom","K02000001","UK","2020-03-06",1,1
"486","England","E92000001","Nation","2020-03-06",NA,1
