"","Area.name","Area.code","Area.type","Reporting.date","Daily.change.in.deaths","Cumulative.deaths"
"1","Wales","W92000004","Nation","2020-06-17",10,1466
"2","Scotland","S92000003","Nation","2020-06-17",5,2453
"3","Northern Ireland","N92000002","Nation","2020-06-17",1,542
"4","United Kingdom","K02000001","UK","2020-06-17",184,42153
"5","England","E92000001","Nation","2020-06-17",168,37692
"6","Wales","W92000004","Nation","2020-06-16",8,1456
"7","Scotland","S92000003","Nation","2020-06-16",0,2448
"8","Northern Ireland","N92000002","Nation","2020-06-16",0,541
"9","United Kingdom","K02000001","UK","2020-06-16",233,41969
"10","England","E92000001","Nation","2020-06-16",225,37524
"11","Wales","W92000004","Nation","2020-06-15",4,1448
"12","Scotland","S92000003","Nation","2020-06-15",1,2448
"13","Northern Ireland","N92000002","Nation","2020-06-15",0,541
"14","United Kingdom","K02000001","UK","2020-06-15",38,41736
"15","England","E92000001","Nation","2020-06-15",33,37299
"16","Wales","W92000004","Nation","2020-06-14",3,1444
"17","Scotland","S92000003","Nation","2020-06-14",5,2447
"18","Northern Ireland","N92000002","Nation","2020-06-14",2,541
"19","United Kingdom","K02000001","UK","2020-06-14",36,41698
"20","England","E92000001","Nation","2020-06-14",26,37266
"21","Wales","W92000004","Nation","2020-06-13",6,1441
"22","Scotland","S92000003","Nation","2020-06-13",3,2442
"23","Northern Ireland","N92000002","Nation","2020-06-13",1,539
"24","United Kingdom","K02000001","UK","2020-06-13",181,41662
"25","England","E92000001","Nation","2020-06-13",171,37240
"26","Wales","W92000004","Nation","2020-06-12",10,1435
"27","Scotland","S92000003","Nation","2020-06-12",5,2439
"28","Northern Ireland","N92000002","Nation","2020-06-12",1,538
"29","United Kingdom","K02000001","UK","2020-06-12",202,41481
"30","England","E92000001","Nation","2020-06-12",186,37069
"31","Wales","W92000004","Nation","2020-06-11",6,1425
"32","Scotland","S92000003","Nation","2020-06-11",12,2434
"33","Northern Ireland","N92000002","Nation","2020-06-11",0,537
"34","United Kingdom","K02000001","UK","2020-06-11",151,41279
"35","England","E92000001","Nation","2020-06-11",133,36883
"36","Wales","W92000004","Nation","2020-06-10",9,1419
"37","Scotland","S92000003","Nation","2020-06-10",7,2422
"38","Northern Ireland","N92000002","Nation","2020-06-10",0,537
"39","United Kingdom","K02000001","UK","2020-06-10",245,41128
"40","England","E92000001","Nation","2020-06-10",229,36750
"41","Wales","W92000004","Nation","2020-06-09",9,1410
"42","Scotland","S92000003","Nation","2020-06-09",0,2415
"43","Northern Ireland","N92000002","Nation","2020-06-09",0,537
"44","United Kingdom","K02000001","UK","2020-06-09",286,40883
"45","England","E92000001","Nation","2020-06-09",277,36521
"46","Wales","W92000004","Nation","2020-06-08",3,1401
"47","Scotland","S92000003","Nation","2020-06-08",0,2415
"48","Northern Ireland","N92000002","Nation","2020-06-08",0,537
"49","United Kingdom","K02000001","UK","2020-06-08",55,40597
"50","England","E92000001","Nation","2020-06-08",52,36244
"51","Wales","W92000004","Nation","2020-06-07",5,1398
"52","Scotland","S92000003","Nation","2020-06-07",6,2415
"53","Northern Ireland","N92000002","Nation","2020-06-07",1,537
"54","United Kingdom","K02000001","UK","2020-06-07",77,40542
"55","England","E92000001","Nation","2020-06-07",65,36192
"56","Wales","W92000004","Nation","2020-06-06",10,1393
